Time(s),MeasuredVoltage(V),Current(A),Capacitance(F)
0,0,-2.96814316936073e-06,0
0.001,0,-2.24487110467323e-06,0
0.002,0,-4.67769529833191e-06,0
0.003,0,-2.90239116372903e-06,0
0.004,0,-2.77088715231629e-06,0
0.005,0,-5.35318927788714e-07,0
0.006,0,-5.46671934653781e-06,0
0.007,0,-7.30777543129e-06,0
0.008,0,-4.15167926222584e-06,0
0.009,0,3.14679356811614e-06,0
0.01,0,1.76600136371259e-06,0
0.011,0,1.10848127416237e-06,0
0.012,0,3.60705764118005e-06,0
0.013,0,3.01528954769377e-06,0
0.014,0,3.67280965181919e-06,0
0.015,0,1.3714893093804e-06,0
0.016,0,5.71112200664819e-06,0
0.017,0,6.76315420878526e-06,0
0.018,0,3.08104155787979e-06,0
0.019,0,-4.48043928516443e-06,0
0.02,0,-3.1653991859572e-06,0
0.021,0,-2.31062311080298e-06,0
0.022,0,-4.48043928516443e-06,0
0.023,0,-2.57363113482374e-06,0
0.024,0,-3.03389517494265e-06,0
0.025,0,-1.0613349858094e-06,0
0.026,0,-6.18999138445866e-06,0
0.027,0,-8.75431947071573e-06,0
0.028,0,-4.41468728067601e-06,0
0.029,0,3.40980160956485e-06,0
0.03,0,2.94953753755807e-06,0
0.031,0,2.42352145828308e-06,0
0.032,0,5.05360188688693e-06,0
0.033,0,2.68652949751829e-06,0
0.034,0,2.68652949751829e-06,0
0.035,0,7.79721231267982e-07,0
0.036,0,5.18510591043498e-06,0
0.037,0,6.69740219577203e-06,0
0.038,0,3.08104155787979e-06,0
0.039,0,-4.41468728067601e-06,0
0.04,0,-3.36265520210588e-06,0
0.041,0,-1.91611107327674e-06,0
0.042,0,-5.40096734279329e-06,0
0.043,0,-4.02017525270278e-06,0
0.044,0,-3.29690319677273e-06,0
0.045,0,-8.64078964426401e-07,0
0.046,0,-4.61194329399238e-06,0
0.047,0,-6.65025540547231e-06,0
0.048,0,-3.03389517494265e-06,0
0.049,0,4.33032976098216e-06,0
0.05,0,3.80431367324859e-06,0
0.051,0,1.56874533632066e-06,0
0.052,0,3.67280965181919e-06,0
0.053,0,2.55502547780013e-06,0
0.054,0,2.48927346801647e-06,0
0.055,0,9.11225248275355e-07,0
0.056,0,5.44811395813729e-06,0
0.057,0,7.09191427461138e-06,0
0.058,0,3.40980160956485e-06,0
0.059,0,-4.15167926222584e-06,0
0.06,0,-4.48043928516443e-06,0
0.061,0,-2.90239116372903e-06,0
0.062,0,-4.94070331519392e-06,0
0.063,0,-3.1653991859572e-06,0
0.064,0,-2.31062311080298e-06,0
0.065,0,-1.40806882173616e-07,0
0.066,0,-4.48043928516443e-06,0
0.067,0,-7.11051942406345e-06,0
0.068,0,-3.42840720738929e-06,0
0.069,0,3.40980160956485e-06,0
