Time(s),MeasuredVoltage(V),Current(A),Capacitance(F)
0,0,-7.57078344023411e-06,0
0.001,0,1.5029933272904e-06,0
0.002,0,3.40980160956485e-06,0
0.003,0,2.53705165242546e-07,0
0.004,0,9.11225248275355e-07,0
0.005,0,7.79721231267982e-07,0
0.006,0,1.23998529167108e-06,0
0.007,0,-3.38062905206216e-07,0
0.008,0,5.16713197854551e-07,0
0.009,0,5.31660993418509e-06,0
0.01,0,6.10563408093146e-06,0
0.011,0,-2.77088715231629e-06,0
0.012,0,-4.61194329399238e-06,0
0.013,0,-1.3900950204489e-06,0
0.014,0,-2.0476150859849e-06,0
0.015,0,-1.0613349858094e-06,0
0.016,0,-2.72310897578704e-07,0
0.017,0,8.45473239746608e-07,0
0.018,0,5.64491413092505e-08,0
0.019,0,-6.71600740827646e-06,0
0.02,0,-7.70228744441001e-06,0
0.021,0,7.13969222839467e-07,0
0.022,0,2.29201743896708e-06,0
0.023,0,-2.06558889901171e-07,0
0.024,0,1.43724131831032e-06,0
0.025,0,1.56874533632066e-06,0
0.026,0,1.10848127416237e-06,0
0.027,0,-9.29830971604029e-07,0
0.028,0,-3.38062905206216e-07,0
0.029,0,5.18510591043498e-06,0
0.03,0,6.43439414422554e-06,0
0.031,0,-1.85035906684787e-06,0
0.032,0,-3.03389517494265e-06,0
0.033,0,1.22201149236961e-07,0
0.034,0,-1.98186307965575e-06,0
0.035,0,-1.3900950204489e-06,0
0.036,0,-2.0476150859849e-06,0
0.037,0,1.87953157214726e-07,0
0.038,0,-3.38062905206216e-07,0
0.039,0,-7.04476742155581e-06,0
0.04,0,-7.70228744441001e-06,0
0.041,0,1.43724131831032e-06,0
0.042,0,3.34404959912716e-06,0
0.043,0,-2.72310897578704e-07,0
0.044,0,7.79721231267982e-07,0
0.045,0,1.87953157214726e-07,0
0.046,0,9.11225248275355e-07,0
0.047,0,-1.12708699283717e-06,0
0.048,0,1.87953157214726e-07,0
0.049,0,6.17138609348906e-06,0
0.05,0,7.09191427461138e-06,0
0.051,0,-1.98186307965575e-06,0
0.052,0,-3.42840720738929e-06,0
0.053,0,-8.64078964426401e-07,0
0.054,0,-1.78460706036911e-06,0
0.055,0,-1.32434301362085e-06,0
0.056,0,-1.0613349858094e-06,0
0.057,0,1.43724131831032e-06,0
0.058,0,1.23998529167108e-06,0
0.059,0,-5.72972736102044e-06,0
0.06,0,-7.24202342893054e-06,0
0.061,0,8.45473239746608e-07,0
0.062,0,2.22626542938445e-06,0
0.063,0,-8.64078964426401e-07,0
0.064,0,3.85209181448393e-07,0
0.065,0,4.50961189626431e-07,0
0.066,0,1.10848127416237e-06,0
0.067,0,-4.03814912783718e-07,0
0.068,0,-5.35318927788714e-07,0
0.069,0,4.98784987518865e-06,0
0.07,0,5.84262603120697e-06,0
0.071,0,-1.91611107327674e-06,0
0.072,0,-3.75716723306049e-06,0
0.073,0,-1.0613349858094e-06,0
0.074,0,-1.52159903395524e-06,0
0.075,0,-7.505487439603e-08,0
0.076,0,-5.35318927788714e-07,0
0.077,0,7.13969222839467e-07,0
0.078,0,-2.06558889901171e-07,0
0.079,0,-6.65025540547231e-06,0
0.08,0,-8.09679945575366e-06,0
0.081,0,8.45473239746608e-07,0
0.082,0,3.21254557840281e-06,0
0.083,0,4.50961189626431e-07,0
0.084,0,1.70024935453176e-06,0
0.085,0,1.87953157214726e-07,0
0.086,0,2.53705165242546e-07,0
0.087,0,-1.3900950204489e-06,0
0.088,0,-4.03814912783718e-07,0
0.089,0,4.92209786354088e-06,0
0.09,0,6.17138609348906e-06,0
0.091,0,-1.71885505384048e-06,0
0.092,0,-3.09964718047481e-06,0
0.093,0,-7.98326957198819e-07,0
0.094,0,-2.37637511688291e-06,0
0.095,0,-1.65310304726196e-06,0
0.096,0,-1.192838999815e-06,0
0.097,0,7.13969222839467e-07,0
0.098,0,8.45473239746608e-07,0
0.099,0,-5.53247135023277e-06,0
0.1,0,-6.51875139971569e-06,0
0.101,0,2.35776944859995e-06,0
0.102,0,2.94953753755807e-06,0
0.103,0,-3.38062905206216e-07,0
0.104,0,4.50961189626431e-07,0
0.105,0,-9.30286656841139e-09,0
0.106,0,2.53705165242546e-07,0
0.107,0,-9.9558297873169e-07,0
0.108,0,1.22201149236961e-07,0
0.109,0,5.64536999444464e-06,0
0.11,0,5.90837804356222e-06,0
0.111,0,-2.96814316936073e-06,0
0.112,0,-4.48043928516443e-06,0
0.113,0,-1.32434301362085e-06,0
0.114,0,-2.37637511688291e-06,0
0.115,0,-7.98326957198819e-07,0
0.116,0,-2.72310897578704e-07,0
0.117,0,2.16051341985207e-06,0
0.118,0,2.09476141036993e-06,0
0.119,0,-5.8612313679646e-06,0
0.12,0,-7.04476742155581e-06,0
0.121,0,1.56874533632066e-06,0
0.122,0,2.94953753755807e-06,0
0.123,0,-6.01070935216213e-07,0
0.124,0,6.48217214461066e-07,0
0.125,0,3.85209181448393e-07,0
0.126,0,9.76977256854222e-07,0
0.127,0,-1.78460706036911e-06,0
0.128,0,-1.45584702722703e-06,0
0.129,0,4.72484182890045e-06,0
0.13,0,6.03988206842446e-06,0
0.131,0,-2.44212712291301e-06,0
0.132,0,-3.29690319677273e-06,0
0.133,0,-1.40806882173616e-07,0
0.134,0,-9.9558297873169e-07,0
0.135,0,3.85209181448393e-07,0
0.136,0,-1.192838999815e-06,0
0.137,0,9.11225248275355e-07,0
0.138,0,7.13969222839467e-07,0
0.139,0,-6.51875139971569e-06,0
0.14,0,-7.57078344023411e-06,0
0.141,0,1.30573730050066e-06,0
0.142,0,3.01528954769377e-06,0
0.143,0,5.64491413092505e-08,0
0.144,0,-9.30286656841139e-09,0
0.145,0,-9.9558297873169e-07,0
0.146,0,5.64491413092505e-08,0
0.147,0,-1.32434301362085e-06,0
0.148,0,-4.69566920311215e-07,0
0.149,0,5.57961798229164e-06,0
0.15,0,6.69740219577203e-06,0
0.151,0,-1.45584702722703e-06,0
0.152,0,-2.83663915804755e-06,0
0.153,0,-1.25859100674289e-06,0
0.154,0,-1.85035906684787e-06,0
0.155,0,-9.9558297873169e-07,0
0.156,0,-1.65310304726196e-06,0
