Time(s),MeasuredVoltage(V),Current(A),Capacitance(F)
6.387,2329.54119264908,2.089983819274e-05,1.76620514716949e-08
6.388,2330.22877859732,2.14258543869421e-05,1.76659217645878e-08
6.389,2330.91636454557,1.94532936758149e-05,1.76694794788797e-08
6.39,2331.60395049381,1.59684365333394e-05,1.76718647807664e-08
6.391,2332.29153644206,1.61656925941376e-05,1.76735438755965e-08
6.392,2332.9791223903,1.57711804730045e-05,1.76751797051127e-08
6.393,2333.66670833854,1.45218921016351e-05,1.7676462378032e-08
6.394,2334.35429428679,1.46533961398528e-05,1.76775048748718e-08
6.395,2335.04188023503,1.43246360446937e-05,1.76785045195292e-08
6.396,2335.72946618327,1.63629486553994e-05,1.76798695325166e-08
6.397,2336.41705213152,1.63629486553994e-05,1.76816699468708e-08
6.398,2337.10463807976,1.609994057382e-05,1.76834130339159e-08
6.399,2337.792224028,1.82697572715296e-05,1.76855629181323e-08
6.4,2338.47980997625,2.10970942651761e-05,1.7688780000096e-08
6.401,2339.16739592449,2.27408948870099e-05,1.76929509021115e-08
6.402,2339.85498187273,2.3003902989523e-05,1.76975268158318e-08
6.403,2340.54256782098,2.36614232494556e-05,1.77022966894995e-08
6.404,2341.23015376922,2.31354070410923e-05,1.77070918458714e-08
6.405,2341.91773971746,2.22806307096178e-05,1.7711589386993e-08
6.406,2342.60532566571,2.08340861686986e-05,1.77155930995915e-08
6.407,2343.29291161395,2.18203665347768e-05,1.77194962537496e-08
6.408,2343.9804975622,2.2149126659403e-05,1.77236776323802e-08
6.409,2344.66808351044,1.9584797721771e-05,1.77273798239869e-08
6.41,2345.35566945868,1.6888964821032e-05,1.77299584452528e-08
6.411,2346.04325540693,1.55739244131329e-05,1.77316807384449e-08
6.412,2346.73084135517,1.49821562362961e-05,1.77329957532544e-08
6.413,2347.41842730341,1.34698598032854e-05,1.7733861832048e-08
6.414,2348.10601325166,1.34698598032854e-05,1.77344053788863e-08
6.415,2348.7935991999,1.49821562362961e-05,1.77352705379541e-08
6.416,2349.48118514814,1.7349228968668e-05,1.77369607705967e-08
6.417,2350.16877109639,1.63629486553994e-05,1.77389437787444e-08
6.418,2350.85635704463,1.61656925941376e-05,1.77406739023794e-08
6.419,2351.54394299287,1.82697572715296e-05,1.77428084518358e-08
6.42,2352.23152894112,2.17546145100077e-05,1.7746129757592e-08
6.421,2352.91911488936,2.30696550152816e-05,1.77504691100334e-08
6.422,2353.6067008376,2.3003902989523e-05,1.77550713258003e-08
6.423,2354.29428678585,2.45161995951711e-05,1.775997806741e-08
6.424,2354.98187273409,2.42531914878569e-05,1.77651471875303e-08
6.425,2355.66945868234,2.31354070410923e-05,1.77700202114801e-08
6.426,2356.35704463058,2.11628462894253e-05,1.77742346451502e-08
6.427,2357.04463057882,2.0768334144709e-05,1.77779444926944e-08
6.428,2357.73221652707,2.12943503380798e-05,1.77816800642567e-08
6.429,2358.41980247531,1.97820537910938e-05,1.77852043599345e-08
6.43,2359.10738842355,1.62971966349273e-05,1.77876674816376e-08
6.431,2359.7949743718,1.56396764330387e-05,1.77892514693833e-08
6.432,2360.48256032004,1.55739244131329e-05,1.77906813300142e-08
6.433,2361.17014626828,1.46533961398528e-05,1.77919015037441e-08
6.434,2361.85773221653,1.46533961398528e-05,1.77929260932612e-08
6.435,2362.54531816477,1.40616279694907e-05,1.77938248468548e-08
6.436,2363.23290411301,1.59684365333394e-05,1.77950013065751e-08
6.437,2363.92049006126,1.64944526964983e-05,1.77966916560535e-08
6.438,2364.6080760095,1.68232128001474e-05,1.7798561766236e-08
6.439,2365.29566195774,1.85985173821493e-05,1.78008755675124e-08
6.44,2365.98324790599,2.14916064114512e-05,1.78041745891758e-08
6.441,2366.67083385423,2.28723989381622e-05,1.78083746250511e-08
6.442,2367.35841980248,2.26751428615119e-05,1.78128221910211e-08
6.443,2368.04600575072,2.34641671709281e-05,1.78173921228352e-08
6.444,2368.73359169896,2.22148786844844e-05,1.78218622475073e-08
6.445,2369.42117764721,2.15573584360123e-05,1.78259273991984e-08
6.446,2370.10876359545,2.05053260492701e-05,1.78296295436667e-08
6.447,2370.79634954369,2.12943503380798e-05,1.78332740724171e-08
6.448,2371.48393549194,2.11628462894253e-05,1.78370551183336e-08
6.449,2372.17152144018,1.9321789630066e-05,1.78404182012432e-08
6.45,2372.85910738842,1.62314446145067e-05,1.78427402085799e-08
6.451,2373.54669333667,1.5245164314376e-05,1.7844202108204e-08
6.452,2374.23427928491,1.4784900178276e-05,1.7845358527199e-08
6.453,2374.92186523315,1.28780916412324e-05,1.78460159290984e-08
6.454,2375.6094511814,1.31410997127436e-05,1.78463269759717e-08
6.455,2376.29703712964,1.53109163340245e-05,1.78471497369045e-08
6.456,2376.98462307788,1.74807330113141e-05,1.78488848660498e-08
6.457,2377.67220902613,1.67574607793145e-05,1.78509231850625e-08
6.458,2378.35979497437,1.6560204717125e-05,1.78527668038506e-08
6.459,2379.04738092262,1.80725012057782e-05,1.78548857365841e-08
6.46,2379.73496687086,2.15573584360123e-05,1.78580533839842e-08
6.461,2380.4225528191,2.18203665347768e-05,1.78620064283311e-08
6.462,2381.11013876735,2.14916064114512e-05,1.78659433826504e-08
6.463,2381.79772471559,2.33326631188373e-05,1.78701955334683e-08
6.464,2382.48531066383,2.32669110928701e-05,1.78748178040508e-08
6.465,2383.17289661208,2.24778867853305e-05,1.78792580716472e-08
6.466,2383.86048256032,2.01108139076686e-05,1.78830338059225e-08
6.467,2384.54806850856,1.9321789630066e-05,1.78861455817386e-08
6.468,2385.23565445681,2.03738220018621e-05,1.78893106960247e-08
6.469,2385.92324040505,1.85985173821493e-05,1.78923224153089e-08
6.47,2386.61082635329,1.49164042169047e-05,1.78941890586997e-08
6.471,2387.29841230154,1.47191481590387e-05,1.78952421248865e-08
6.472,2387.98599824978,1.44561400826033e-05,1.78961982138657e-08
6.473,2388.67358419802,1.36671158582255e-05,1.78969335397651e-08
6.474,2389.36117014627,1.43246360446937e-05,1.78976409237947e-08
6.475,2390.04875609451,1.43903880636228e-05,1.78984992099042e-08
6.476,2390.73634204276,1.57054284529959e-05,1.78996457820538e-08
6.477,2391.423927991,1.57711804730045e-05,1.79010803915785e-08
6.478,2392.11151393924,1.5245164314376e-05,1.7902417971804e-08
6.479,2392.79909988749,1.68232128001474e-05,1.7903974616288e-08
6.48,2393.48668583573,2.0768334144709e-05,1.79066841580402e-08
6.481,2394.17427178397,2.09655902168334e-05,1.79102572386947e-08
6.482,2394.86185773222,2.17546145100077e-05,1.79140341835433e-08
6.483,2395.54944368046,2.25436388106722e-05,1.79181383311347e-08
6.484,2396.2370296287,2.23463827348033e-05,1.79223636020542e-08
6.485,2396.92461557695,2.16888624852905e-05,1.79264081419513e-08
6.486,2397.61220152519,2.01765659311392e-05,1.79299978667041e-08
6.487,2398.29978747343,2.12285983137266e-05,1.79334895767818e-08
6.488,2398.98737342168,2.19518705844712e-05,1.79373492965601e-08
6.489,2399.67495936992,2.02423179546616e-05,1.79410013015578e-08
6.49,2400.36254531816,1.57054284529959e-05,1.79433500687565e-08
6.491,2401.05013126641,1.45876441207183e-05,1.79445199489179e-08
6.492,2401.73771721465,1.37986198951087e-05,1.79452921948754e-08
6.493,2402.4253031629,1.24835795355019e-05,1.79456260945242e-08
6.494,2403.11288911114,1.24178275180593e-05,1.79456725106507e-08
6.495,2403.80047505938,1.37328678766415e-05,1.79459787571361e-08
6.496,2404.48806100763,1.62314446145067e-05,1.79470778490666e-08
6.497,2405.17564695587,1.62314446145067e-05,1.79486957292735e-08
6.498,2405.86323290411,1.56396764330387e-05,1.79501897001285e-08
6.499,2406.55081885236,1.7086220883995e-05,1.79518604109321e-08
6.5,2407.2384048006,2.14258543869421e-05,1.79547319963381e-08
6.501,2407.92599074884,2.2149126659403e-05,1.79586532418973e-08
6.502,2408.61357669709,2.24121347600408e-05,1.79627769889306e-08
6.503,2409.30116264533,2.36614232494556e-05,1.79672122277132e-08
6.504,2409.98874859357,2.40559354079198e-05,1.79719859747602e-08
6.505,2410.67633454182,2.44504475682642e-05,1.79769206506847e-08
6.506,2411.36392049006,2.18203665347768e-05,1.79813889637949e-08
6.507,2412.0515064383,2.09655902168334e-05,1.79851323448837e-08
6.508,2412.73909238655,2.18203665347768e-05,1.7988873592384e-08
6.509,2413.42667833479,2.01765659311392e-05,1.79924492425595e-08
6.51,2414.11426428304,1.609994057382e-05,1.7994838068169e-08
6.511,2414.80185023128,1.51136602752332e-05,1.79961772267537e-08
6.512,2415.48943617952,1.41931320069896e-05,1.7997120918547e-08
6.513,2416.17702212777,1.37986198951087e-05,1.79977919407792e-08
6.514,2416.86460807601,1.40616279694907e-05,1.79984353757028e-08
6.515,2417.55219402425,1.33383557669149e-05,1.79989832524422e-08
6.516,2418.2397799725,1.55739244131329e-05,1.79998435030014e-08
6.517,2418.92736592074,1.64944526964983e-05,1.80013556398035e-08
6.518,2419.61495186898,1.62971966349273e-05,1.8003016377383e-08
6.519,2420.30253781723,1.81382532276436e-05,1.80050157571169e-08
6.52,2420.99012376547,2.17546145100077e-05,1.80081411056931e-08
6.521,2421.67770971371,2.24778867853305e-05,1.80121606768485e-08
6.522,2422.36529566196,2.41216874345133e-05,1.80166665532126e-08
6.523,2423.0528816102,2.49764637849834e-05,1.80216854568221e-08
6.524,2423.74046755844,2.37271752757358e-05,1.80266201278426e-08
6.525,2424.42805350669,2.280664691256e-05,1.80311045093792e-08
6.526,2425.11563945493,2.10970942651761e-05,1.80350440891426e-08
6.527,2425.80322540318,2.16231104606254e-05,1.80387374882515e-08
6.528,2426.49081135142,2.16231104606254e-05,1.80425371845028e-08
6.529,2427.17839729966,1.96505497448268e-05,1.80459283794282e-08
