Time(s),MeasuredVoltage(V),Current(A),Capacitance(F)
9.495,5007.66922307436,-0.000130855707242586,6.96907681401897e-08
9.496,5005.66855618539,-0.000137365147144415,6.96918304528521e-08
9.497,5003.66788929643,-0.000139140448871653,6.96920657481667e-08
9.498,5001.66722240747,-0.000135063830049794,6.96925312867165e-08
9.499,4999.66655551851,-0.000128028374643774,6.9694108479379e-08
9.5,4997.66588862954,-0.000129409164991576,6.96962526654074e-08
9.501,4995.66522174058,-0.000127436607346674,6.96984577969233e-08
9.502,4993.66455485162,-0.000124806530432901,6.9701125542762e-08
9.503,4991.66388796265,-0.000123491491952806,6.97041905974507e-08
9.504,4989.66322107369,-0.000123359988103943,6.97074030639864e-08
9.505,4987.66255418473,-0.000123425740028394,6.97106246991682e-08
9.506,4985.66188729577,-0.000120401151463345,6.97141456545188e-08
9.507,4983.6612204068,-0.000117902578238502,6.97182235637414e-08
9.508,4981.66055351784,-0.000122965476556421,6.9722047371855e-08
9.509,4979.65988662888,-0.000129540668833342,6.97247056897349e-08
9.51,4977.65921973991,-0.000129540668833342,6.97267056742142e-08
9.511,4975.65855285095,-0.000129474916912478,6.97287138744032e-08
9.512,4973.65788596199,-0.000131578978361158,6.97305187796917e-08
9.513,4971.65721907302,-0.000132368001394343,6.97320341798617e-08
9.514,4969.65655218406,-0.000132499505232674,6.97334581854234e-08
9.515,4967.6558852951,-0.00013230224947512,6.97348899559918e-08
9.516,4965.65521840614,-0.000137365147144415,6.9735832950788e-08
9.517,4963.65455151717,-0.000140521239085083,6.97359487885923e-08
9.518,4961.65388462821,-0.00013493232621442,6.97363098821114e-08
9.519,4959.65321773925,-0.000129474916912478,6.97377848853535e-08
9.52,4957.65255085028,-0.000128620141937761,6.97398976892658e-08
9.521,4955.65188396132,-0.000128291382330374,6.97421316117186e-08
9.522,4953.65121707236,-0.000124543522738123,6.97447788148366e-08
9.523,4951.65055018339,-0.000125464049667137,6.97477136510701e-08
9.524,4949.64988329443,-0.000124740778509265,6.97506309336123e-08
9.525,4947.64921640547,-0.000125464049667137,6.9753550575461e-08
9.526,4945.64854951651,-0.000119940887978812,6.97569578434931e-08
9.527,4943.64788262754,-0.000117310810887466,6.97611924869985e-08
9.528,4941.64721573858,-0.000121321678426661,6.97652908498323e-08
