Time(s),MeasuredVoltage(V),Current(A),Capacitance(F)
3.919,316.316316316316,-2.598134212576e-05,6.48884019590794e-09
3.92,312.312312312312,-2.47978063241015e-05,6.19325212944385e-09
3.921,308.308308308308,-1.93403910378106e-05,4.83026266169219e-09
3.922,304.304304304304,-2.00636629622707e-05,5.01089982482892e-09
3.923,300.3003003003,-2.1378702809982e-05,5.33933102679257e-09
3.924,296.296296296296,-2.14444548018621e-05,5.35575258676454e-09
3.925,292.292292292292,-2.1575958785478e-05,5.38859570667268e-09
3.926,288.288288288288,-2.31540065738797e-05,5.78271314182781e-09
3.927,284.284284284284,-2.25622386564695e-05,5.63491910445281e-09
3.928,280.28028028028,-2.07869348808959e-05,5.19153698650332e-09
3.929,276.276276276276,-1.73020792192345e-05,4.32119428500339e-09
3.93,272.272272272272,-1.76308391931186e-05,4.40330208848298e-09
3.931,268.268268268268,-2.24964866654063e-05,5.61849754468405e-09
3.932,264.264264264264,-2.19047187436763e-05,5.47070350623271e-09
3.933,260.26026026026,-1.96691510041981e-05,4.91237046329808e-09
3.934,256.256256256256,-2.02609189406559e-05,5.06016450543057e-09
3.935,252.252252252252,-1.92746390443883e-05,4.81384110133554e-09
3.936,248.248248248248,-1.94061430311847e-05,4.84668422203742e-09
3.937,244.244244244244,-1.82226071430587e-05,4.55109613397852e-09
3.938,240.24024024024,-2.0392422926005e-05,5.09300762577156e-09
3.939,236.236236236236,-2.41402864276025e-05,6.02903653529318e-09
3.94,232.232232232232,-2.24964866654063e-05,5.61849754468472e-09
3.941,228.228228228228,-1.71705752293415e-05,4.28835116352721e-09
3.942,224.224224224224,-1.92088870509176e-05,4.79741954096838e-09
3.943,220.22022022022,-2.2430734674295e-05,5.60207598490469e-09
3.944,216.216216216216,-2.1378702809982e-05,5.33933102679253e-09
3.945,212.212212212212,-2.05896789036672e-05,5.14227230619043e-09
3.946,208.208208208208,-2.07211828885345e-05,5.17511542641277e-09
3.947,204.204204204204,-2.10499428498599e-05,5.25722322675204e-09
3.948,200.2002002002,-2.04581749186072e-05,5.1094291859217e-09
3.949,196.196196196196,-1.76308391931186e-05,4.40330208848295e-09
3.95,192.192192192192,-1.76308391931186e-05,4.40330208848099e-09
3.951,188.188188188188,-2.13129508180538e-05,5.3229094668079e-09
3.952,184.184184184184,-1.99979109693792e-05,4.99447826460422e-09
3.953,180.18018018018,-1.78280951768678e-05,4.45256677042233e-09
3.954,176.176176176176,-1.92746390443883e-05,4.81384110133554e-09
3.955,172.172172172172,-1.86828711014132e-05,4.66604705757754e-09
3.956,168.168168168168,-1.93403910378106e-05,4.8302626616944e-09
3.957,164.164164164164,-1.73678312141082e-05,4.33761584572315e-09
3.958,160.16016016016,-1.71705752293415e-05,4.28835116352767e-09
3.959,156.156156156156,-2.18389667521327e-05,5.45428194634467e-09
3.96,152.152152152152,-2.12471988260775e-05,5.30648790681474e-09
3.961,148.148148148148,-1.71705752293415e-05,4.28835116352721e-09
3.962,144.144144144144,-2.12471988260775e-05,5.30648790681239e-09
3.963,140.14014014014,-2.14444548018621e-05,5.35575258676458e-09
3.964,136.136136136136,-2.09841908576911e-05,5.24080166671021e-09
