Time(s),MeasuredVoltage(V),Current(A),Capacitance(F)
0,0,2.88378552747267e-06,0
0.001,0,2.62077748763407e-06,0
0.002,0,6.48217214461066e-07,0
0.003,0,3.87006568403886e-06,0
0.004,0,6.30289011875607e-06,0
0.005,0,4.19882573874628e-06,0
0.006,0,-2.96814316936073e-06,0
0.007,0,-2.0476150859849e-06,0
0.008,0,-1.52159903395524e-06,0
0.009,0,-2.96814316936073e-06,0
0.01,0,-3.09964718047481e-06,0
0.011,0,-2.57363113482374e-06,0
0.012,0,-8.64078964426401e-07,0
0.013,0,-4.54619128960322e-06,0
0.014,0,-8.29405546075974e-06,0
0.015,0,-5.26946333515562e-06,0
0.016,0,2.48927346801647e-06,0
0.017,0,2.16051341985207e-06,0
0.018,0,5.16713197854551e-07,0
0.019,0,2.68652949751829e-06,0
0.02,0,1.89750538222488e-06,0
0.021,0,2.68652949751829e-06,0
0.022,0,1.43724131831032e-06,0
0.023,0,5.38236194613593e-06,0
0.024,0,7.88093843776544e-06,0
0.025,0,4.65908981745459e-06,0
0.026,0,-2.17911909849363e-06,0
0.027,0,-2.63938314070439e-06,0
0.028,0,-1.52159903395524e-06,0
0.029,0,-3.95442324786675e-06,0
0.03,0,-2.70513514653524e-06,0
0.031,0,-3.42840720738929e-06,0
0.032,0,-6.66822942593726e-07,0
0.033,0,-4.87495131105283e-06,0
0.034,0,-7.8995434503038e-06,0
0.035,0,-6.18999138445866e-06,0
0.036,0,1.43724131831032e-06,0
0.037,0,1.70024935453176e-06,0
0.038,0,6.48217214461066e-07,0
0.039,0,3.60705764118005e-06,0
0.04,0,2.88378552747267e-06,0
0.041,0,4.46183378341978e-06,0
0.042,0,1.70024935453176e-06,0
0.043,0,5.44811395813729e-06,0
0.044,0,6.5658981698975e-06,0
0.045,0,4.52758579471427e-06,0
0.046,0,-3.36265520210588e-06,0
0.047,0,-2.90239116372903e-06,0
0.048,0,-1.65310304726196e-06,0
0.049,0,-3.75716723306049e-06,0
0.05,0,-3.1653991859572e-06,0
0.051,0,-3.42840720738929e-06,0
0.052,0,-2.17911909849363e-06,0
0.053,0,-5.79547936451728e-06,0
0.054,0,-8.42555946385067e-06,0
0.055,0,-6.25574338760901e-06,0
0.056,0,3.67280965181919e-06,0
0.057,0,3.34404959912716e-06,0
0.058,0,1.96325739155634e-06,0
0.059,0,4.06732171671208e-06,0
0.06,0,3.21254557840281e-06,0
0.061,0,2.75228150745279e-06,0
0.062,0,1.5029933272904e-06,0
0.063,0,4.52758579471427e-06,0
0.064,0,6.69740219577203e-06,0
0.065,0,4.72484182890045e-06,0
0.066,0,-3.29690319677273e-06,0
0.067,0,-3.36265520210588e-06,0
0.068,0,-2.31062311080298e-06,0
0.069,0,-5.00645531928543e-06,0
0.07,0,-4.15167926222584e-06,0
0.071,0,-2.83663915804755e-06,0
0.072,0,-9.29830971604029e-07,0
0.073,0,-3.36265520210588e-06,0
0.074,0,-6.97901541899877e-06,0
0.075,0,-5.00645531928543e-06,0
0.076,0,2.88378552747267e-06,0
0.077,0,2.81803351743758e-06,0
0.078,0,9.76977256854222e-07,0
0.079,0,3.67280965181919e-06,0
0.08,0,3.14679356811614e-06,0
0.081,0,3.01528954769377e-06,0
0.082,0,1.3714893093804e-06,0
0.083,0,4.92209786354088e-06,0
0.084,0,6.43439414422554e-06,0
0.085,0,3.54130563059129e-06,0
0.086,0,-3.95442324786675e-06,0
0.087,0,-4.08592725748915e-06,0
0.088,0,-2.57363113482374e-06,0
0.089,0,-4.21743126691286e-06,0
0.09,0,-2.44212712291301e-06,0
0.091,0,-2.31062311080298e-06,0
0.092,0,-2.72310897578704e-07,0
0.093,0,-3.95442324786675e-06,0
0.094,0,-7.50503143807213e-06,0
0.095,0,-5.72972736102044e-06,0
0.096,0,2.55502547780013e-06,0
0.097,0,2.55502547780013e-06,0
0.098,0,1.17423328289164e-06,0
0.099,0,3.60705764118005e-06,0
0.1,0,2.75228150745279e-06,0
0.101,0,3.08104155787979e-06,0
0.102,0,2.53705165242546e-07,0
0.103,0,4.19882573874628e-06,0
0.104,0,6.5001461570362e-06,0
0.105,0,4.85634585194359e-06,0
0.106,0,-2.90239116372903e-06,0
0.107,0,-2.57363113482374e-06,0
0.108,0,-1.3900950204489e-06,0
0.109,0,-3.49415921262297e-06,0
0.11,0,-3.03389517494265e-06,0
0.111,0,-2.90239116372903e-06,0
0.112,0,-9.9558297873169e-07,0
0.113,0,-4.41468728067601e-06,0
0.114,0,-8.16255145747165e-06,0
0.115,0,-5.79547936451728e-06,0
0.116,0,2.62077748763407e-06,0
0.117,0,2.02900940093803e-06,0
0.118,0,1.56874533632066e-06,0
0.119,0,2.75228150745279e-06,0
0.12,0,2.62077748763407e-06,0
0.121,0,2.42352145828308e-06,0
0.122,0,1.70024935453176e-06,0
0.123,0,5.05360188688693e-06,0
0.124,0,7.55217836889692e-06,0
0.125,0,5.18510591043498e-06,0
0.126,0,-2.70513514653524e-06,0
0.127,0,-3.23115119138984e-06,0
0.128,0,-2.37637511688291e-06,0
0.129,0,-4.08592725748915e-06,0
0.13,0,-3.29690319677273e-06,0
0.131,0,-3.09964718047481e-06,0
0.132,0,-1.192838999815e-06,0
0.133,0,-2.96814316936073e-06,0
0.134,0,-7.50503143807213e-06,0
0.135,0,-5.99273537471071e-06,0
0.136,0,1.5029933272904e-06,0
0.137,0,2.35776944859995e-06,0
0.138,0,1.17423328289164e-06,0
0.139,0,3.67280965181919e-06,0
0.14,0,3.47555362005289e-06,0
0.141,0,3.47555362005289e-06,0
0.142,0,1.5029933272904e-06,0
0.143,0,4.72484182890045e-06,0
0.144,0,6.30289011875607e-06,0
0.145,0,4.264577749839e-06,0
0.146,0,-3.95442324786675e-06,0
0.147,0,-4.34893527613794e-06,0
0.148,0,-1.78460706036911e-06,0
0.149,0,-4.15167926222584e-06,0
0.15,0,-3.09964718047481e-06,0
0.151,0,-3.29690319677273e-06,0
0.152,0,-1.25859100674289e-06,0
0.153,0,-4.61194329399238e-06,0
0.154,0,-7.50503143807213e-06,0
0.155,0,-5.66397535747408e-06,0
0.156,0,2.81803351743758e-06,0
0.157,0,3.27829758873981e-06,0
0.158,0,1.76600136371259e-06,0
0.159,0,3.80431367324859e-06,0
0.16,0,2.88378552747267e-06,0
0.161,0,2.75228150745279e-06,0
0.162,0,1.3714893093804e-06,0
0.163,0,5.05360188688693e-06,0
0.164,0,6.5658981698975e-06,0
0.165,0,5.44811395813729e-06,0
0.166,0,-2.70513514653524e-06,0
0.167,0,-2.96814316936073e-06,0
0.168,0,-2.24487110467323e-06,0
0.169,0,-4.74344730262183e-06,0
0.17,0,-3.95442324786675e-06,0
0.171,0,-3.42840720738929e-06,0
0.172,0,-1.45584702722703e-06,0
0.173,0,-3.49415921262297e-06,0
0.174,0,-7.30777543129e-06,0
0.175,0,-5.53247135023277e-06,0
0.176,0,2.55502547780013e-06,0
0.177,0,2.42352145828308e-06,0
0.178,0,1.43724131831032e-06,0
0.179,0,2.94953753755807e-06,0
0.18,0,3.40980160956485e-06,0
0.181,0,3.01528954769377e-06,0
0.182,0,2.16051341985207e-06,0
0.183,0,4.79059384039678e-06,0
0.184,0,6.76315420878526e-06,0
0.185,0,4.33032976098216e-06,0
0.186,0,-4.02017525270278e-06,0
0.187,0,-4.08592725748915e-06,0
0.188,0,-2.57363113482374e-06,0
0.189,0,-4.28318327155023e-06,0
0.19,0,-2.57363113482374e-06,0
0.191,0,-2.44212712291301e-06,0
0.192,0,-7.32574949921261e-07,0
0.193,0,-3.36265520210588e-06,0
0.194,0,-7.96529545216973e-06,0
0.195,0,-5.07220732332734e-06,0
0.196,0,1.96325739155634e-06,0
0.197,0,2.48927346801647e-06,0
0.198,0,1.17423328289164e-06,0
0.199,0,3.7385616625087e-06,0
0.2,0,3.21254557840281e-06,0
