Time(s),MeasuredVoltage(V),Current(A),Capacitance(F)
0,0,4.85634585194359e-06,0
0.001,0,6.10563408093146e-06,0
0.002,0,1.43724131831032e-06,0
0.003,0,-5.07220732332734e-06,0
0.004,0,-3.1653991859572e-06,0
0.005,0,-2.90239116372903e-06,0
0.006,0,-3.88867124298101e-06,0
0.007,0,-1.91611107327674e-06,0
0.008,0,-8.64078964426401e-07,0
0.009,0,5.8246520613276e-07,0
0.01,0,-4.48043928516443e-06,0
0.011,0,-5.72972736102044e-06,0
0.012,0,-1.52159903395524e-06,0
0.013,0,3.27829758873981e-06,0
0.014,0,1.5029933272904e-06,0
0.015,0,1.3714893093804e-06,0
0.016,0,2.42352145828308e-06,0
0.017,0,2.48927346801647e-06,0
0.018,0,2.09476141036993e-06,0
0.019,0,8.45473239746608e-07,0
0.02,0,4.52758579471427e-06,0
0.021,0,5.25085792228477e-06,0
0.022,0,1.04272926548323e-06,0
0.023,0,-4.80919930686213e-06,0
0.024,0,-1.12708699283717e-06,0
0.025,0,-1.32434301362085e-06,0
0.026,0,-2.90239116372903e-06,0
0.027,0,-2.17911909849363e-06,0
0.028,0,-1.58735104063354e-06,0
0.029,0,-6.01070935216213e-07,0
0.03,0,-6.91326341639232e-06,0
0.031,0,-6.91326341639232e-06,0
0.032,0,-1.91611107327674e-06,0
0.033,0,3.67280965181919e-06,0
0.034,0,1.43724131831032e-06,0
0.035,0,1.17423328289164e-06,0
0.036,0,3.01528954769377e-06,0
0.037,0,1.56874533632066e-06,0
0.038,0,7.13969222839467e-07,0
0.039,0,9.11225248275355e-07,0
0.04,0,5.18510591043498e-06,0
0.041,0,6.23713810609726e-06,0
0.042,0,1.30573730050066e-06,0
0.043,0,-3.75716723306049e-06,0
0.044,0,-1.52159903395524e-06,0
0.045,0,-1.98186307965575e-06,0
0.046,0,-2.77088715231629e-06,0
0.047,0,-1.78460706036911e-06,0
0.048,0,-1.25859100674289e-06,0
0.049,0,-5.35318927788714e-07,0
0.05,0,-5.99273537471071e-06,0
0.051,0,-6.58450340261873e-06,0
0.052,0,-1.58735104063354e-06,0
0.053,0,4.85634585194359e-06,0
0.054,0,1.10848127416237e-06,0
0.055,0,7.13969222839467e-07,0
0.056,0,2.42352145828308e-06,0
0.057,0,1.89750538222488e-06,0
0.058,0,1.5029933272904e-06,0
0.059,0,8.45473239746608e-07,0
0.06,0,5.18510591043498e-06,0
0.061,0,6.10563408093146e-06,0
0.062,0,7.79721231267982e-07,0
0.063,0,-5.26946333515562e-06,0
0.064,0,-2.50787912889328e-06,0
0.065,0,-2.1133670922642e-06,0
0.066,0,-3.23115119138984e-06,0
0.067,0,-2.0476150859849e-06,0
0.068,0,-6.01070935216213e-07,0
0.069,0,3.19457173320437e-07,0
0.07,0,-6.18999138445866e-06,0
0.071,0,-7.76803944642395e-06,0
0.072,0,-1.85035906684787e-06,0
0.073,0,3.40980160956485e-06,0
0.074,0,1.23998529167108e-06,0
0.075,0,2.42352145828308e-06,0
0.076,0,3.34404959912716e-06,0
0.077,0,2.29201743896708e-06,0
0.078,0,1.56874533632066e-06,0
0.079,0,7.79721231267982e-07,0
0.08,0,4.92209786354088e-06,0
0.081,0,5.90837804356222e-06,0
0.082,0,1.83175337294363e-06,0
0.083,0,-4.48043928516443e-06,0
0.084,0,-2.0476150859849e-06,0
0.085,0,-2.0476150859849e-06,0
0.086,0,-3.23115119138984e-06,0
0.087,0,-2.77088715231629e-06,0
0.088,0,-2.31062311080298e-06,0
0.089,0,-6.66822942593726e-07,0
0.09,0,-5.99273537471071e-06,0
0.091,0,-6.58450340261873e-06,0
