Time(s),MeasuredVoltage(V),Current(A),Capacitance(F)
0,0,1.70024935453176e-06,0
0.001,0,2.42352145828308e-06,0
0.002,0,3.27829758873981e-06,0
0.003,0,2.81803351743758e-06,0
0.004,0,2.35776944859995e-06,0
0.005,0,2.16051341985207e-06,0
0.006,0,6.96041024812892e-06,0
0.007,0,7.09191427461138e-06,0
0.008,0,-7.32574949921261e-07,0
0.009,0,-4.34893527613794e-06,0
0.01,0,-3.09964718047481e-06,0
0.011,0,-3.36265520210588e-06,0
0.012,0,-3.95442324786675e-06,0
0.013,0,-3.42840720738929e-06,0
0.014,0,-1.78460706036911e-06,0
0.015,0,-1.71885505384048e-06,0
0.016,0,-6.84751141373646e-06,0
0.017,0,-7.57078344023411e-06,0
0.018,0,-2.06558889901171e-07,0
0.019,0,3.21254557840281e-06,0
0.02,0,1.96325739155634e-06,0
0.021,0,2.42352145828308e-06,0
0.022,0,3.01528954769377e-06,0
0.023,0,2.88378552747267e-06,0
0.024,0,1.63449734540111e-06,0
0.025,0,2.02900940093803e-06,0
0.026,0,5.25085792228477e-06,0
0.027,0,5.51386597018919e-06,0
0.028,0,-9.29830971604029e-07,0
0.029,0,-4.02017525270278e-06,0
0.03,0,-1.58735104063354e-06,0
0.031,0,-2.57363113482374e-06,0
0.032,0,-2.90239116372903e-06,0
0.033,0,-2.90239116372903e-06,0
0.034,0,-1.65310304726196e-06,0
0.035,0,-1.71885505384048e-06,0
0.036,0,-7.30777543129e-06,0
0.037,0,-7.11051942406345e-06,0
0.038,0,-3.38062905206216e-07,0
0.039,0,3.60705764118005e-06,0
0.04,0,1.63449734540111e-06,0
0.041,0,2.02900940093803e-06,0
0.042,0,2.48927346801647e-06,0
0.043,0,1.3714893093804e-06,0
0.044,0,1.89750538222488e-06,0
0.045,0,1.89750538222488e-06,0
0.046,0,6.43439414422554e-06,0
0.047,0,7.48642635527542e-06,0
0.048,0,1.10848127416237e-06,0
0.049,0,-3.1653991859572e-06,0
0.05,0,-2.0476150859849e-06,0
