Time(s),MeasuredVoltage(V),Current(A),Capacitance(F)
0,0,1.3714893093804e-06,0
0.001,0,3.40980160956485e-06,0
0.002,0,1.76600136371259e-06,0
0.003,0,3.27829758873981e-06,0
0.004,0,2.88378552747267e-06,0
0.005,0,2.75228150745279e-06,0
0.006,0,1.17423328289164e-06,0
0.007,0,2.62077748763407e-06,0
0.008,0,5.18510591043498e-06,0
0.009,0,4.79059384039678e-06,0
0.01,0,-2.70513514653524e-06,0
0.011,0,-3.95442324786675e-06,0
0.012,0,-1.91611107327674e-06,0
0.013,0,-3.23115119138984e-06,0
0.014,0,-2.63938314070439e-06,0
0.015,0,-2.37637511688291e-06,0
0.016,0,-5.35318927788714e-07,0
0.017,0,-2.63938314070439e-06,0
0.018,0,-6.84751141373646e-06,0
0.019,0,-5.8612313679646e-06,0
0.02,0,1.76600136371259e-06,0
0.021,0,3.93581769487954e-06,0
0.022,0,1.56874533632066e-06,0
0.023,0,2.62077748763407e-06,0
0.024,0,1.5029933272904e-06,0
0.025,0,1.17423328289164e-06,0
0.026,0,4.50961189626431e-07,0
0.027,0,2.81803351743758e-06,0
0.028,0,6.76315420878526e-06,0
0.029,0,6.63165018280945e-06,0
0.03,0,-5.35318927788714e-07,0
0.031,0,-3.29690319677273e-06,0
0.032,0,-1.58735104063354e-06,0
0.033,0,-3.8229192380456e-06,0
0.034,0,-3.29690319677273e-06,0
0.035,0,-2.90239116372903e-06,0
0.036,0,-9.29830971604029e-07,0
0.037,0,-2.96814316936073e-06,0
0.038,0,-7.30777543129e-06,0
0.039,0,-6.05848737800953e-06,0
0.04,0,9.11225248275355e-07,0
0.041,0,2.88378552747267e-06,0
0.042,0,3.19457173320437e-07,0
0.043,0,2.22626542938445e-06,0
0.044,0,2.29201743896708e-06,0
0.045,0,2.68652949751829e-06,0
0.046,0,1.96325739155634e-06,0
0.047,0,4.46183378341978e-06,0
0.048,0,7.6836823962921e-06,0
0.049,0,6.36864213146549e-06,0
0.05,0,-1.65310304726196e-06,0
0.051,0,-3.42840720738929e-06,0
